ID,Year,Month,Day,kingdom,Avg_Temperature,Radiation,Rain_Amount,Wind_Speed,Wind_Direction
94,1,4,4,Camelot,25.3,24.27,0.26,5.6,267
95,1,4,4,Dorne,29.5,25.6,0.26,17.7,245
96,1,4,4,Eden,27.6,22.21,2.86,11.8,237
97,1,4,4,El Dorado,299.25,22.68,4.42,9.5,294
98,1,4,4,Elysium,27.5,22.21,2.86,11.8,237
99,1,4,4,Emerald City,300.75,22.37,2.99,12.4,243
100,1,4,4,Helios,27.2,23.35,0.91,10.4,247
101,1,4,4,Krypton,300.85,22.21,2.86,11.8,237
102,1,4,4,Metropolis,27.8,22.37,2.99,12.4,243
103,1,4,4,Midgar,28.8,23.79,1.17,11.8,249
104,1,4,4,Midgard,27,24.96,0.39,9.2,265
105,1,4,4,Mordor,28.3,25,0,12.7,289
106,1,4,4,Neo-City,27.6,22.37,2.99,12.4,243
107,1,4,4,Neo-Tokyo,27.7,22.37,2.99,12.4,243
108,1,4,4,Nirvana,300.95,25.26,4.29,13.5,312
109,1,4,4,Olympus,300.55,22.21,2.86,11.8,237
110,1,4,4,Pandora,300.95,22.21,2.86,11.8,237
111,1,4,4,Rapture,300.75,22.21,2.86,11.8,237
112,1,4,4,Rivendell,294.75,24.9,0,4.4,52
113,1,4,4,Serenity,300.85,22.37,2.99,12.4,243
114,1,4,4,Shangri-La,27.7,22.37,2.99,12.4,243
115,1,4,4,Solara,300.85,22.37,2.99,12.4,243
116,1,4,4,Solstice,28.9,27.8,0,18.9,177
117,1,4,4,Sunspear,29.9,26.73,0,19.5,231
118,1,4,4,Utopia,301.15,22.21,2.86,11.8,237
119,1,4,4,Valyria,28.5,26.93,0,14.2,180
120,1,4,4,Winterfell,24.3,24.84,0.65,5.7,308
121,1,4,5,Arcadia,27.9,26.85,0,10.6,256
122,1,4,5,Atlantis,301.65,25.48,5.2,9.3,262
123,1,4,5,Avalon,27.7,25.48,5.2,9.3,262
124,1,4,5,Camelot,25.7,26.62,0,5.4,233
125,1,4,5,Dorne,29.6,26.6,0.39,13.8,235
126,1,4,5,Eden,28.2,25.35,0.78,12.8,231
127,1,4,5,El Dorado,300.05,24.17,2.08,8.3,202
128,1,4,5,Elysium,28.1,25.35,0.78,12.8,231
129,1,4,5,Emerald City,301.05,24.58,1.56,12.7,221
130,1,4,5,Helios,28.2,26.85,0,10.6,256
131,1,4,5,Krypton,301.45,25.35,0.78,12.8,231
132,1,4,5,Metropolis,28.4,24.58,1.56,12.7,221
133,1,4,5,Midgar,29,26.51,0.52,12.1,254
134,1,4,5,Midgard,27.4,27.17,0.52,5.6,230
135,1,4,5,Mordor,28.2,24.65,2.34,11.9,222
136,1,4,5,Neo-City,28.1,24.58,1.56,12.7,221
137,1,4,5,Neo-Tokyo,28.1,24.58,1.56,12.7,221
138,1,4,5,Nirvana,300.95,25.48,5.2,9.3,262
139,1,4,5,Olympus,301.15,25.35,0.78,12.8,231
140,1,4,5,Pandora,301.55,25.35,0.78,12.8,231
141,1,4,5,Rapture,301.55,25.35,0.78,12.8,231
142,1,4,5,Rivendell,295.15,25.76,0,5.1,140
143,1,4,5,Serenity,301.35,24.58,1.56,12.7,221
144,1,4,5,Shangri-La,28.3,24.58,1.56,12.7,221
145,1,4,5,Solara,301.05,24.58,1.56,12.7,221
146,1,4,5,Solstice,28.7,26.29,0,18.3,171
147,1,4,5,Sunspear,29.7,27.08,0,19.2,195
148,1,4,5,Utopia,301.75,25.35,0.78,12.8,231
149,1,4,5,Valyria,28.5,27.29,0,15.6,180
150,1,4,5,Winterfell,24.3,24.44,1.17,8,182
151,1,4,6,Arcadia,27,25.99,0.13,12.6,265
152,1,4,6,Atlantis,300.85,25.34,7.54,9.8,244
153,1,4,6,Avalon,27.1,25.34,7.54,9.8,244
154,1,4,6,Camelot,25.4,26.12,0.91,6.9,291
155,1,4,6,Dorne,29,23.61,2.6,15.6,251
156,1,4,6,Eden,27.5,24.55,2.73,11.1,229
157,1,4,6,El Dorado,299.35,23.95,4.29,9.2,200
158,1,4,6,Elysium,27.4,24.55,2.73,11.1,229
159,1,4,6,Emerald City,300.35,24.03,2.47,11.6,217
160,1,4,6,Helios,27.5,25.99,0.13,12.6,265
161,1,4,6,Krypton,300.65,24.55,2.73,11.1,229
162,1,4,6,Metropolis,27.6,24.03,2.47,11.6,217
163,1,4,6,Midgar,28.4,25.82,2.6,13.5,256
164,1,4,6,Midgard,27,26.76,0.39,10.1,301
165,1,4,6,Mordor,27.4,24.96,5.07,11.5,257
166,1,4,6,Neo-City,27.3,24.03,2.47,11.6,217
167,1,4,6,Neo-Tokyo,27.4,24.03,2.47,11.6,217
168,1,4,6,Nirvana,300.25,25.34,7.54,9.8,244
169,1,4,6,Olympus,300.45,24.55,2.73,11.1,229
170,1,4,6,Pandora,300.75,24.55,2.73,11.1,229
171,1,4,6,Rapture,300.75,24.55,2.73,11.1,229
172,1,4,6,Rivendell,294.45,25.48,0.78,2.6,102
173,1,4,6,Serenity,300.55,24.03,2.47,11.6,217
174,1,4,6,Shangri-La,27.5,24.03,2.47,11.6,217
175,1,4,6,Solara,300.25,24.03,2.47,11.6,217
176,1,4,6,Solstice,28.6,27.48,0.52,16.9,178
177,1,4,6,Sunspear,29.3,24.21,1.43,18.5,231
178,1,4,6,Utopia,300.95,24.55,2.73,11.1,229
179,1,4,6,Valyria,28.1,24.78,1.17,14.7,201
180,1,4,6,Winterfell,24.1,24.41,2.73,6.7,220
181,1,4,7,Arcadia,25.8,20.87,16.51,15.1,247
182,1,4,7,Atlantis,300.05,23.45,25.74,10.9,236
183,1,4,7,Avalon,26.5,23.45,25.74,10.9,236
184,1,4,7,Camelot,24.2,21.28,33.41,7.2,263
185,1,4,7,Dorne,28.3,23.03,4.16,20.7,231
186,1,4,7,Eden,26.6,20.89,36.27,12.7,224
187,1,4,7,El Dorado,298.85,21.26,28.73,11.8,208
188,1,4,7,Elysium,26.5,20.89,36.27,12.7,224
189,1,4,7,Emerald City,299.75,21.12,34.06,14.8,215
190,1,4,7,Helios,26.2,20.87,16.51,15.1,247
191,1,4,7,Krypton,299.85,20.89,36.27,12.7,224
192,1,4,7,Metropolis,26.7,21.12,34.06,14.8,215
193,1,4,7,Midgar,27.6,21.22,14.04,17.1,235
194,1,4,7,Midgard,25.5,21.65,27.17,6.3,251
195,1,4,7,Mordor,26.9,22.85,11.31,11,237
196,1,4,7,Neo-City,26.5,21.12,34.06,14.8,215
197,1,4,7,Neo-Tokyo,26.6,21.12,34.06,14.8,215
198,1,4,7,Nirvana,299.65,23.45,25.74,10.9,236
199,1,4,7,Olympus,299.55,20.89,36.27,12.7,224
200,1,4,7,Pandora,299.85,20.89,36.27,12.7,224
201,1,4,7,Rapture,299.75,20.89,36.27,12.7,224
202,1,4,7,Rivendell,293.95,21.67,23.27,4.6,153
203,1,4,7,Serenity,299.75,21.12,34.06,14.8,215
204,1,4,7,Shangri-La,26.7,21.12,34.06,14.8,215
205,1,4,7,Solara,299.65,21.12,34.06,14.8,215
206,1,4,7,Solstice,28,24.4,1.43,18.4,182
207,1,4,7,Sunspear,29.1,24.88,1.04,22.7,220
208,1,4,7,Utopia,299.95,20.89,36.27,12.7,224
209,1,4,7,Valyria,27.3,22.89,7.8,17.1,194
210,1,4,7,Winterfell,23.5,21.96,11.18,8.1,214
211,1,4,8,Arcadia,25.6,18.67,0.65,5.9,215
212,1,4,8,Atlantis,300.45,18.91,2.99,13,126
213,1,4,8,Avalon,27.2,18.91,2.99,13,126
214,1,4,8,Camelot,23.5,18.15,15.34,5.7,144
215,1,4,8,Dorne,27.8,20.87,4.42,14.1,208
216,1,4,8,Eden,26.6,15.77,9.49,8.6,176
217,1,4,8,El Dorado,298.35,16.21,2.34,8.1,130
218,1,4,8,Elysium,26.5,15.77,9.49,8.6,176
219,1,4,8,Emerald City,299.85,15.38,9.23,9.2,157
220,1,4,8,Helios,25.9,18.67,0.65,5.9,215
221,1,4,8,Krypton,299.75,15.77,9.49,8.6,176
222,1,4,8,Metropolis,26.7,15.38,9.23,9.2,157
223,1,4,8,Midgar,27.2,20.38,5.72,9.8,204
224,1,4,8,Midgard,24.9,18.66,3.77,6.1,196
225,1,4,8,Mordor,27.1,19.12,3.25,9.4,113
226,1,4,8,Neo-City,26.6,15.38,9.23,9.2,157
227,1,4,8,Neo-Tokyo,26.6,15.38,9.23,9.2,157
228,1,4,8,Nirvana,300.45,18.91,2.99,13,126
229,1,4,8,Olympus,299.35,15.77,9.49,8.6,176
230,1,4,8,Pandora,299.85,15.77,9.49,8.6,176
231,1,4,8,Rapture,299.65,15.77,9.49,8.6,176
232,1,4,8,Rivendell,293.55,19.03,31.85,5.8,113
233,1,4,8,Serenity,299.85,15.38,9.23,9.2,157
234,1,4,8,Shangri-La,26.6,15.38,9.23,9.2,157
235,1,4,8,Solara,299.95,15.38,9.23,9.2,157
236,1,4,8,Solstice,27.6,19.96,4.16,13,161
237,1,4,8,Sunspear,28.3,21.35,3.38,15.7,209
238,1,4,8,Utopia,300.05,15.77,9.49,8.6,176
239,1,4,8,Valyria,27.4,20.17,1.95,11.2,164
240,1,4,8,Winterfell,23,20.05,21.58,6.8,34
241,1,4,9,Arcadia,27.1,25.48,0.91,6.3,3
242,1,4,9,Atlantis,301.35,21.6,4.03,11.2,139
243,1,4,9,Avalon,27.5,21.6,4.03,11.2,139
244,1,4,9,Camelot,24.7,24.4,3.9,7.1,65
245,1,4,9,Dorne,28.8,21.7,0,16.5,145
246,1,4,9,Eden,27.3,24.46,4.68,5.5,248
247,1,4,9,El Dorado,299.65,22.09,4.42,7.9,173
248,1,4,9,Elysium,27.2,24.46,4.68,5.5,248
249,1,4,9,Emerald City,300.65,23.35,5.85,7.9,224
250,1,4,9,Helios,27.4,25.48,0.91,6.3,3
251,1,4,9,Krypton,300.55,24.46,4.68,5.5,248
252,1,4,9,Metropolis,27.5,23.35,5.85,7.9,224
253,1,4,9,Midgar,28.3,25.56,2.6,7.5,349
254,1,4,9,Midgard,26.1,24.6,2.34,5,123
255,1,4,9,Mordor,27.3,17.93,3.77,10.9,106
256,1,4,9,Neo-City,27.3,23.35,5.85,7.9,224
257,1,4,9,Neo-Tokyo,27.3,23.35,5.85,7.9,224
258,1,4,9,Nirvana,300.75,21.6,4.03,11.2,139
259,1,4,9,Olympus,300.35,24.46,4.68,5.5,248
260,1,4,9,Pandora,300.65,24.46,4.68,5.5,248
261,1,4,9,Rapture,300.55,24.46,4.68,5.5,248
262,1,4,9,Rivendell,294.55,22.97,2.47,5.1,107
263,1,4,9,Serenity,300.55,23.35,5.85,7.9,224
264,1,4,9,Shangri-La,27.4,23.35,5.85,7.9,224
265,1,4,9,Solara,300.65,23.35,5.85,7.9,224
266,1,4,9,Solstice,28.3,21.85,0,18.7,144
267,1,4,9,Sunspear,29.2,23.47,0,20.8,151
268,1,4,9,Utopia,300.85,24.46,4.68,5.5,248
269,1,4,9,Valyria,28.2,18.19,0,15.2,137
270,1,4,9,Winterfell,23.6,20.48,2.21,8.4,102
271,1,4,10,Arcadia,26.6,25.26,2.47,7.7,232
272,1,4,10,Atlantis,300.75,25.12,7.93,12.3,126
273,1,4,10,Avalon,27.4,25.12,7.93,12.3,126
274,1,4,10,Camelot,24.5,24.4,3.9,4.5,77
275,1,4,10,Dorne,29.4,25.75,0,16.8,159
276,1,4,10,Eden,27.2,23.31,2.99,9.7,205
277,1,4,10,El Dorado,299.05,22.31,9.1,6.5,143
278,1,4,10,Elysium,27.1,23.31,2.99,9.7,205
279,1,4,10,Emerald City,300.35,22.53,5.85,10.5,179
280,1,4,10,Helios,27,25.26,2.47,7.7,232
281,1,4,10,Krypton,300.45,23.31,2.99,9.7,205
282,1,4,10,Metropolis,27.3,22.53,5.85,10.5,179
283,1,4,10,Midgar,28.4,26.03,1.95,8.3,213
284,1,4,10,Midgard,26.2,25.22,2.08,4.9,168
285,1,4,10,Mordor,27.4,23.8,1.17,11.8,109
286,1,4,10,Neo-City,27.2,22.53,5.85,10.5,179
287,1,4,10,Neo-Tokyo,27.2,22.53,5.85,10.5,179
288,1,4,10,Nirvana,300.65,25.12,7.93,12.3,126
289,1,4,10,Olympus,300.15,23.31,2.99,9.7,205
290,1,4,10,Pandora,300.45,23.31,2.99,9.7,205
291,1,4,10,Rapture,300.35,23.31,2.99,9.7,205
292,1,4,10,Rivendell,294.15,23.28,8.71,5.1,108
293,1,4,10,Serenity,300.45,22.53,5.85,10.5,179
294,1,4,10,Shangri-La,27.3,22.53,5.85,10.5,179
295,1,4,10,Solara,300.35,22.53,5.85,10.5,179
296,1,4,10,Solstice,28.5,25.58,0,16.3,154
297,1,4,10,Sunspear,29.4,26.27,0,20.4,153
298,1,4,10,Utopia,300.65,23.31,2.99,9.7,205
299,1,4,10,Valyria,28.2,23.87,0,15.1,158
300,1,4,10,Winterfell,23.7,22.25,11.57,8.1,113
301,1,4,11,Arcadia,26,23.12,3.9,8.4,271
302,1,4,11,Atlantis,300.85,25.62,3.64,8.8,139
303,1,4,11,Avalon,27.5,25.62,3.64,8.8,139
304,1,4,11,Camelot,24.3,23.63,4.81,6.6,34
305,1,4,11,Dorne,28.5,24.54,1.69,14.4,241
306,1,4,11,Eden,27.6,23.44,3.25,9.4,196
307,1,4,11,El Dorado,299.05,23.37,16.25,8.5,160
308,1,4,11,Elysium,27.5,23.44,3.25,9.4,196
309,1,4,11,Emerald City,300.65,23.48,2.34,10.1,181
310,1,4,11,Helios,26.3,23.12,3.9,8.4,271
311,1,4,11,Krypton,300.75,23.44,3.25,9.4,196
312,1,4,11,Metropolis,27.6,23.48,2.34,10.1,181
313,1,4,11,Midgar,28.1,22.95,1.56,9.3,249
314,1,4,11,Midgard,25.8,24.07,2.86,7.5,280
315,1,4,11,Mordor,27.3,24.39,10.92,12.8,85
316,1,4,11,Neo-City,27.5,23.48,2.34,10.1,181
317,1,4,11,Neo-Tokyo,27.6,23.48,2.34,10.1,181
318,1,4,11,Nirvana,300.75,25.62,3.64,8.8,139
319,1,4,11,Olympus,300.35,23.44,3.25,9.4,196
320,1,4,11,Pandora,300.75,23.44,3.25,9.4,196
321,1,4,11,Rapture,300.45,23.44,3.25,9.4,196
322,1,4,11,Rivendell,293.95,23.22,9.36,5.1,89
323,1,4,11,Serenity,300.75,23.48,2.34,10.1,181
324,1,4,11,Shangri-La,27.6,23.48,2.34,10.1,181
325,1,4,11,Solara,300.75,23.48,2.34,10.1,181
326,1,4,11,Solstice,28.4,26.17,0,14.9,167
327,1,4,11,Sunspear,29.4,26.75,0.26,17.1,201
328,1,4,11,Utopia,300.95,23.44,3.25,9.4,196
329,1,4,11,Valyria,27.8,24.87,0.52,12.7,177
330,1,4,11,Winterfell,23.6,22.74,22.62,6.8,171
331,1,4,12,Arcadia,25.9,23.4,4.03,9.6,261
332,1,4,12,Atlantis,300.65,24.71,9.49,10,294
333,1,4,12,Avalon,27,24.71,9.49,10,294
334,1,4,12,Camelot,23.9,23.89,5.98,7.8,308
335,1,4,12,Dorne,28,22.88,2.73,15.6,223
336,1,4,12,Eden,27,24.21,6.5,11.9,243
337,1,4,12,El Dorado,299.05,24.53,16.77,10.2,245
338,1,4,12,Elysium,26.9,24.21,6.5,11.9,243
339,1,4,12,Emerald City,300.25,24.6,7.67,13,238
340,1,4,12,Helios,26.2,23.4,4.03,9.6,261
341,1,4,12,Krypton,300.25,24.21,6.5,11.9,243
342,1,4,12,Metropolis,27.1,24.6,7.67,13,238
343,1,4,12,Midgar,27.5,22.44,1.43,12.1,251
344,1,4,12,Midgard,25.3,24.34,6.37,9.3,276
345,1,4,12,Mordor,26.9,23.53,7.15,10.4,303
346,1,4,12,Neo-City,26.9,24.6,7.67,13,238
347,1,4,12,Neo-Tokyo,27,24.6,7.67,13,238
348,1,4,12,Nirvana,300.15,24.71,9.49,10,294
349,1,4,12,Olympus,299.95,24.21,6.5,11.9,243
350,1,4,12,Pandora,300.25,24.21,6.5,11.9,243
351,1,4,12,Rapture,300.05,24.21,6.5,11.9,243
352,1,4,12,Rivendell,293.75,22.93,23.53,4.2,8
353,1,4,12,Serenity,300.25,24.6,7.67,13,238
354,1,4,12,Shangri-La,27.1,24.6,7.67,13,238
355,1,4,12,Solara,300.05,24.6,7.67,13,238
356,1,4,12,Solstice,27.9,25.6,1.69,14.9,172
357,1,4,12,Sunspear,28.6,22.9,2.86,19.3,202
358,1,4,12,Utopia,300.45,24.21,6.5,11.9,243
359,1,4,12,Valyria,27.7,24.33,1.56,13.8,191
360,1,4,12,Winterfell,23.5,22.03,57.07,6.7,249
361,1,4,13,Arcadia,25.6,19.59,0.13,5.5,76
362,1,4,13,Atlantis,299.15,23.48,10.92,12.4,22
363,1,4,13,Avalon,26.8,23.48,10.92,12.4,22
364,1,4,13,Camelot,23.4,19.35,0.91,7.1,67
365,1,4,13,Dorne,25.8,11.23,55.51,11,146
366,1,4,13,Eden,26.7,22.8,6.76,9.4,85
367,1,4,13,El Dorado,298.55,22.8,14.17,9.4,57
368,1,4,13,Elysium,26.6,22.8,6.76,9.4,85
369,1,4,13,Emerald City,299.75,23.39,11.18,10.2,81
370,1,4,13,Helios,25.8,19.59,0.13,5.5,76
371,1,4,13,Krypton,299.95,22.8,6.76,9.4,85
372,1,4,13,Metropolis,26.8,23.39,11.18,10.2,81
373,1,4,13,Midgar,26.4,18.28,1.17,6.5,112
374,1,4,13,Midgard,24.5,18.97,1.17,6.3,65
375,1,4,13,Mordor,26.4,21.41,28.73,7.6,28
376,1,4,13,Neo-City,26.7,23.39,11.18,10.2,81
377,1,4,13,Neo-Tokyo,26.7,23.39,11.18,10.2,81
378,1,4,13,Nirvana,299.95,23.48,10.92,12.4,22
379,1,4,13,Olympus,299.55,22.8,6.76,9.4,85
380,1,4,13,Pandora,299.95,22.8,6.76,9.4,85
381,1,4,13,Rapture,299.75,22.8,6.76,9.4,85
382,1,4,13,Rivendell,293.45,17.66,14.69,5.4,63
383,1,4,13,Serenity,299.95,23.39,11.18,10.2,81
384,1,4,13,Shangri-La,26.8,23.39,11.18,10.2,81
385,1,4,13,Solara,299.65,23.39,11.18,10.2,81
386,1,4,13,Solstice,27.5,18.78,0.78,9.5,90
387,1,4,13,Sunspear,26.4,8.41,16.38,13.3,159
388,1,4,13,Utopia,300.15,22.8,6.76,9.4,85
389,1,4,13,Valyria,27.1,20.03,4.81,15.3,103
390,1,4,13,Winterfell,22.4,17.03,44.2,4.9,44
391,1,4,14,Arcadia,26.2,24.65,6.37,5.8,241
392,1,4,14,Atlantis,301.05,26.36,3.64,6.9,150
393,1,4,14,Avalon,27.3,26.36,3.64,6.9,150
394,1,4,14,Camelot,24.3,24.47,1.17,5.2,37
395,1,4,14,Dorne,27.8,25.4,4.42,12.1,128
396,1,4,14,Eden,27,23.93,6.5,7.9,211
397,1,4,14,El Dorado,298.95,24.35,8.45,6.6,176
398,1,4,14,Elysium,26.9,23.93,6.5,7.9,211
399,1,4,14,Emerald City,300.05,23.97,8.58,7.2,194
400,1,4,14,Helios,26.6,24.65,6.37,5.8,241
401,1,4,14,Krypton,300.15,23.93,6.5,7.9,211
402,1,4,14,Metropolis,27.2,23.97,8.58,7.2,194
403,1,4,14,Midgar,27.3,25.61,7.93,8,135
404,1,4,14,Midgard,25.5,24.75,5.33,3.7,185
405,1,4,14,Mordor,27.1,25.63,2.21,6.1,112
406,1,4,14,Neo-City,26.9,23.97,8.58,7.2,194
407,1,4,14,Neo-Tokyo,27,23.97,8.58,7.2,194
408,1,4,14,Nirvana,300.45,26.36,3.64,6.9,150
409,1,4,14,Olympus,299.95,23.93,6.5,7.9,211
410,1,4,14,Pandora,300.35,23.93,6.5,7.9,211
411,1,4,14,Rapture,300.25,23.93,6.5,7.9,211
412,1,4,14,Rivendell,293.95,24.52,2.34,4.3,80
413,1,4,14,Serenity,300.15,23.97,8.58,7.2,194
414,1,4,14,Shangri-La,27,23.97,8.58,7.2,194
415,1,4,14,Solara,300.05,23.97,8.58,7.2,194
416,1,4,14,Solstice,27.2,23.92,5.98,14.5,150
417,1,4,14,Sunspear,27.8,24.69,8.32,16.7,138
418,1,4,14,Utopia,300.55,23.93,6.5,7.9,211
419,1,4,14,Valyria,27.1,23.67,7.67,13.7,120
420,1,4,14,Winterfell,23.2,24.49,11.31,5.6,30
421,1,4,15,Arcadia,25.7,21.35,5.2,10.5,319
422,1,4,15,Atlantis,300.75,25.56,5.2,10.2,303
423,1,4,15,Avalon,27.2,25.56,5.2,10.2,303
424,1,4,15,Camelot,23.9,21.14,5.07,9.4,355
425,1,4,15,Dorne,27.1,21.9,4.81,14,141
426,1,4,15,Eden,26.9,22.99,5.85,11.2,32
427,1,4,15,El Dorado,298.75,24.19,5.59,9.7,318
428,1,4,15,Elysium,26.7,22.99,5.85,11.2,32
429,1,4,15,Emerald City,300.05,23.9,4.16,12,310
430,1,4,15,Helios,26.1,21.35,5.2,10.5,319
431,1,4,15,Krypton,300.05,22.99,5.85,11.2,32
432,1,4,15,Metropolis,26.9,23.9,4.16,12,310
433,1,4,15,Midgar,27.1,22.46,10.14,10.1,6
434,1,4,15,Midgard,25,21.3,5.72,8,319
435,1,4,15,Mordor,26.8,23.82,8.32,8.5,106
436,1,4,15,Neo-City,26.8,23.9,4.16,12,310
437,1,4,15,Neo-Tokyo,26.9,23.9,4.16,12,310
438,1,4,15,Nirvana,300.35,25.56,5.2,10.2,303
439,1,4,15,Olympus,299.75,22.99,5.85,11.2,32
440,1,4,15,Pandora,300.05,22.99,5.85,11.2,32
441,1,4,15,Rapture,299.85,22.99,5.85,11.2,32
442,1,4,15,Rivendell,293.75,21.18,17.81,5.2,6
443,1,4,15,Serenity,300.05,23.9,4.16,12,310
444,1,4,15,Shangri-La,26.9,23.9,4.16,12,310
445,1,4,15,Solara,300.05,23.9,4.16,12,310
446,1,4,15,Solstice,26.8,23.38,8.06,15.8,151
447,1,4,15,Sunspear,27.1,20.07,8.71,17.1,135
